"","Subject","Condition","Level1","Level2","Level3","Level4","Level5","Level6","Level7","Level8","Level9","Level10","Level11","Level12"
"Subject 3","Subject 3","1",118.4,117.633333333,127.633333334,130.55,131.533333333,116.416666667,119.566666666,121.5,127.733333337,99.06666666,-80.86666666,71.11666666
"Subject 5","Subject 5","1",105.433333333,79.466666667,71.4,123.533333333,91.733333334,65.233333333,-24.8833333329999,-50.05,-16.933333334,17.45,-223.7,-254.2666666662
"Subject 6","Subject 6","1",104.15,106.383333333,121.516666667,61.183333333,37.133333334,4.46666666599998,101.416666667,53.4,-0.283333332999973,4.01666666699998,-81.1999999999999,-233.916666667
"Subject 7","Subject 7","2",80.55,111.533333333,126.083333334,128.566666666,94.8166666669999,103.116666667,115.716666666,119.816666667,28.6833333339999,-85.233333334,36.616666667,68.133333333
"Subject 8","Subject 8","1",99.65,119.566666667,125.966666666,126.1,100.333333334,117.016666666,86.333333334,120.3,95.15,98.366666663,-110.749999996,-81.266666667
"Subject 9","Subject 9","1",94.8,117.016666667,125.8,88.616666666,132.733333334,113.083333333,108.966666667,24.366666667,62.733333333,67.016666667,-230.9,41.366666666
"Subject 10","Subject 10","2",118.3,112.6,117.316666667,120.533333333,97.816666667,112.366666666,119.316666667,89.633333333,65.566666667,68.6333333299999,-49.916666663,101.700000003
"Subject 11","Subject 11","2",101.35,127.466666667,64.4,68.65,101.95,126.216666666,131.116666667,125.95,129.85,40.9166666699999,43.3666666600001,-43.78333333
"Subject 12","Subject 12","2",113.25,124.216666667,128.6,131.466666666,134.566666667,125.066666667,124.883333333,130.15,129.65,133.16666667,42.53333333,77.0666666700001
"Subject 13","Subject 13","2",99.05,120.983333333,122.916666667,90.033333333,128.866666667,109.15,111.4,55.7,31.4,-53.3166666659999,-56.35,70.8166666659999
"Subject 14","Subject 14","2",109.65,117.05,124.316666667,126.7,97.633333333,109.65,117.783333333,121.666666667,30.8499999999999,98.1000000000001,40.1999999999998,-46.53333333
"Subject 15","Subject 15","1",73.7,116.133333333,118.2,128.266666667,101.266666667,111.45,116.75,123.766666666,127.316666667,130.88333333,-112.91666666,40.3833333300001
"Subject 16","Subject 16","2",106.45,120.566666667,127.283333333,96.733333333,130.2,112.383333334,122.616666666,59.233333334,95.116666667,6.81666666599995,42.16666667,15.2333333299999
"Subject 17","Subject 17","2",107.7,116.55,121.7,91.233333333,98.85,115.933333334,83.5,127.033333333,96.8,67.53333333,11.95,-78.816666663
"Subject 18","Subject 18","2",115.233333333,125.25,128.9,130.5,132.616666667,118.783333333,122.616666667,126.68333333,98.1500000000001,131.31666667,43.8500000000001,76.5999999999999
"Subject 19","Subject 19","1",90.2,126.683333333,92.666666667,61.183333333,98.666666667,107.733333333,113.733333334,89.383333333,90.483333334,37.333333333,10.25,-107.883333333
"Subject 20","Subject 20","1",117.666666667,124.25,127.316666666,127.85,101.05,32.9333333340001,125.466666666,126.533333334,128.050000003,130.5,103.3,76.5
"Subject 21","Subject 21","1",97.1166666667,114.3166666663,121.383333334,94.083333333,37.383333333,103.116666667,111.016666667,119.733333333,123.133333334,7.80000000000007,40.116666666,-46.5666666660001
